timestamp,#Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,lat,lon,emit
2024-01-14 08:59:30,2024-011 ,2460323.87,2024 Jan 14 0859:30,Falcon 9,FT5,289/B1061.18 F290,Starlink-135,Starlink Group 7-10,V2M  7-10 (22 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,34.63,-120.61,0.0
2024-01-15 01:52:00,2024-012 ,2460324.58,2024 Jan 15 0152:00,Falcon 9,FT5,291/B1073.12 F291,Starlink-136,Starlink Group 6-37,V2M  6-37 (23 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,0.0
2024-01-17 14:27:30,2024-013 ,2460327.1,2024 Jan 17 1427:30,Chang Zheng 7,-,Y8,Tianzhou-7,Tianzhou-7,-,-,WEN,LC201,-,-,      -, ,    -, ,-,18.86,CALT,OS,-,G,Sat LSS O,nasaspaceflight.com,xinhuanet.com,-,19.6142,110.9511,0.0
2024-01-18 21:49:11,2024-014 ,2460328.41,2024 Jan 18 2149:11,Falcon 9,FT5,295/B1080.5  F292,Axiom Ax-3,Dragon C212.3,-,-,KSC,LC39A,-,-,      -, ,    -, ,-,13.0,SPX,OS,-,CX,Sat ISS D,Wire,-,-,28.6083,-80.6041,0.0
2024-01-20 06:28:34,2024-015 ,2460329.77,2024 Jan 20 0628:34,Qaem-100,-,FTM-B2,Suraya,-,-,-,SHAHR,-,-,-,      -, ,    -, ,-,0.05,IRGC,OS,-,G,Sat LEO O,Wire,-,-,36.23,55.33,0.0
2024-01-23 04:03:00,2024-016 ,2460332.67,2024 Jan 23 0403,Lijian-1,-,Y3,Taijing,-,-,-,JQ,LC130,-,-,      -, ,    -, ,-,0.86,ZKYT,OS,-,C,Sat SSO L,nasaspaceflight.com,-,-,41.31,100.31,0.0
2024-01-24 00:35:00,2024-017 ,2460333.52,2024 Jan 24 0035:00,Falcon 9,FT5,292/B1063.16 F293,Starlink-137,Starlink Group 7-11,V2M  7-11 (22 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,34.63,-120.61,0.0
2024-01-26 17:42:05,2024-S01  ,2460336.24,2024 Jan 26 1742:05,Spaceship Two,-,VSS Unity,WK2-xxx/VG-031,Galactic 06,N202VG-031,WK2,SPAM,RW16/34,SPAM,EBR P3,     87,?,    -, ,SPAM,0.0,VGX,SS,-,VGX/,-,twitter.com,-,-,32.99,-106.97,0.0
2024-01-28 00:04:00,2024-018 ,2460337.5,2024 Jan 28 0004?,Simorgh,-,7 DRS.C001,Mehda,Mehda,-,-,SEM,IKSC,-,-,      -, ,    -, ,-,0.042,IRSA,OS,-,G,Sat LEO O,TLE,farsnews.ir,-,35.2347,53.921,0.0
2024-01-29 01:10:00,2024-019 ,2460338.55,2024 Jan 29 0110:00,Falcon 9,FT5,293/B1062.18 F294,Starlink-138,Starlink Group 6-38,V2M  6-38 (23 Ku),-,KSC,LC39A,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.6083,-80.6041,0.0
2024-01-29 05:57:20,2024-020 ,2460338.75,2024 Jan 29 0557:20,Falcon 9,FT5,294/B1075.9  F295,Starlink-139,Starlink Group 7-12,V2M  7-12 (22 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,34.63,-120.61,0.0
2024-01-30 00:00:00,2024-A01  ,2460339.5,2024 Jan 30,Trident D-5,-,UK DASO,-    -,-,-,UK-S28,ETR,LP7,-,-,      1,?,    -, ,-,0.0,RN,MF,S1I,-,OT,Wire,-,ft ignite after ejection,28.5,-79.0,0.0
2024-01-30 17:07:21,2024-021 ,2460340.21,2024 Jan 30 1707:21,Falcon 9,FT5,296/B1077.10 F296,Cygnus NG-20,Cygnus NG-20,-,-,CC,LC40,-,-,      -, ,    -, ,-,11.962,SPX,OS,-,CX,Sat ISS D,Wire,-,-,28.46,-80.54,0.0
2024-01-31 06:34:00,2024-022 ,2460340.77,2024 Jan 31 0634,Electron,-,43,Four of a Kind,Lemur SSA 1-4,-,-,MAHIA,LC1B,-,-,      -, ,    -, ,-,0.1,RLABN,OS,-,C,Sat LEO OO,Wire,-,-,-39.2609,177.8655,0.0
2024-02-02 23:37:00,2024-023 ,2460343.48,2024 Feb  2 2337,Chang Zheng 2C,-,Y85,Geely Xingguo 02 zu,GeeSat,-,-,XSC,-,-,-,      -, ,    -, ,-,1.43,CALT,OS,-,G/C,Sat LEO O,nasaspaceflight.com,news.cn,-,28.2472,102.0291,0.0
2024-02-03 03:06:00,2024-024 ,2460343.63,2024 Feb  3 0306,Jielong-3,-,Y3,NEXSAT-1/DFHG-1,-,-,BRJZ,YJ,LP2,-,-,      -, ,    -, ,-,0.48,CZHJ,OS,-,C,Sat SSO L,nasaspaceflight.com,-,-,21.28,112.0,0.0
2024-02-07 00:00:00,2024-M02  ,2460347.5,2024 Feb  7,DART,-,-,KTH PRIME,-,-,-,ESR,LC3,-,-,     60,?,    -, ,-,0.0,TMINUS,SF,S1,TMINUS/,Aeron?,linkedin.com,-,-,67.894,21.107,0.0
2024-02-08 00:00:00,2024-S03  ,2460348.5,2024 Feb  8,SM-3-IIA,-,Aegis FTX-23,Stellar Sisyphus,-,-,DDG-85,KAU,LP7,-,-,    150,?,    -, ,-,0.0,USNAEG,MS,-,-,Interceptor,Wire,-,-,22.058,-159.777,0.0
2024-02-08 00:00:00,2024-S02  ,2460348.5,2024 Feb  8,MRBM-T2,-,Aegis FTX-23 Target,MRBM Target,-,-,C-17,HICK,RW08R/26L,KAU,LP6,    300,?,    -, ,-,0.0,MDA,MS,-,-,Target,www.mda.mil,-,-,21.3353,-157.9483,0.0
2024-02-08 06:33:32,2024-025 ,2460348.77,2024 Feb  8 0633:32,Falcon 9,FT5,298/B1081.4  F297,PACE,PACE,-,-,CC,LC40,-,-,      -, ,    -, ,-,1.7,SPX,OS,-,CX/G,Sat SSO D,Wire,-,-,28.46,-80.54,0.0
2024-02-09 07:03:00,2024-026 ,2460349.79,2024 Feb  9 0703,Soyuz-2-1V,-,-,Kosmos-2575,EO-MKA No. 4?,-,-,GIK-1,LC43/4,-,-,      -, ,    -, ,-,0.52,VVKO,OS,-,G,Sat SSO O,nasaspaceflight.com,-,-,62.9,40.5,0.0
2024-02-10 00:34:00,2024-027 ,2460350.52,2024 Feb 10 0034:00,Falcon 9,FT5,297/B1071.14 F298,Starlink-140,Starlink Group 7-13,V2M  7-13 (22 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,34.63,-120.61,0.0
2024-02-14 22:30:00,2024-028 ,2460355.44,2024 Feb 14 2230:00,Falcon 9,FT5,303/B1078.7  F299,USSF-124,HBTSS/SDA-0C,-,-,CC,LC40,-,-,      -, ,    -, ,-,6.0,SPX,OS,-,CX/G,Sat LEO D,Wire,-,-,28.46,-80.54,0.0
2024-02-15 03:25:06,2024-029 ,2460355.64,2024 Feb 15 0325:06,Soyuz-2-1A,-,M 15000-068,Progress MS-26,Progress 7K-TGM No. 456,ISS 87P,-,GIK-5,LC31,-,-,      -, ,    -, ,-,7.5,FKA,OS,-,G,Sat ISS O,spaceflightnow.com,-,-,46.0,63.0,0.0
2024-02-15 06:05:37,2024-030 ,2460355.75,2024 Feb 15 0605:37,Falcon 9,FT5,301/B1060.18 F300,IM-1,IM-1,-,-,KSC,LC39A,-,-,      -, ,    -, ,-,1.91,SPX,OS,-,C,Sat EEO O,Wire,-,-,28.6083,-80.6041,0.0
2024-02-15 14:42:00,2024-S04  ,2460356.11,2024 Feb 15 1442:00,VSB-30,-,-,DLR TEXUS 59,-,-,-,ESR,S,-,-,    264, ,    -, ,-,0.0,DLR,SS,-,ZARM/ESA/,Microgravity,www.sscspace.com,-,-,67.894,21.107,0.0
2024-02-15 21:34:30,2024-031 ,2460356.4,2024 Feb 15 2134:30,Falcon 9,FT5,299/B1082.2  F301,Starlink-141,Starlink Group 7-14,V2M  7-14 (22 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,34.63,-120.61,0.0
2024-02-17 00:22:55,2024-032 ,2460357.52,2024 Feb 17 0022:55,H3-22S,-,H3-TF2,VEP-4,VEP-4,-,-,TNSC,Y2,-,-,      -, ,    -, ,-,2.975,JAXA,OS,-,G,Sat LEO D,Wire,-,-,30.4,130.97,0.0
2024-02-17 12:05:00,2024-033 ,2460358.0,2024 Feb 17 1205,GSLV Mk II,c,GSLV-F14,Insat-2DS,INSAT-2DS,-,-,SHAR,SLP,-,-,      -, ,    -, ,-,2.275,ISRO,OS,-,CO/G,Sat GTO O,Wire,-,-,13.621,80.303,0.0
2024-02-18 14:52:00,2024-034 ,2460359.12,2024 Feb 18 1452,Electron,-,44,On Closer Inspection,ADRAS-J,-,-,MAHIA,LC1B,-,-,      -, ,    -, ,-,0.15,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,-39.2609,177.8655,0.0
2024-02-20 20:11:00,2024-035 ,2460361.34,2024 Feb 20 2011,Falcon 9,FT5,305/B1067.17 F302,Merah Putih 2,HTS 113BT,-,-,CC,LC40,-,-,      -, ,    -, ,-,4.0,SPX,OS,-,C,Sat STO O,Wire,-,-,28.46,-80.54,0.0
2024-02-23 04:11:50,2024-036 ,2460363.67,2024 Feb 23 0411:50,Falcon 9,FT5,302/B1061.19 F303,Starlink-142,Starlink Group 7-15,V2M  7-15 (22 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,34.63,-120.61,0.0
2024-02-23 11:30:00,2024-037 ,2460363.98,2024 Feb 23 1130,Chang Zheng 5,-,Y7,TJS 11,TJS 11,-,-,WEN,LC101,-,-,      -, ,    -, ,-,10.0,CALT,OS,-,G,Sat GTO O,nasaspaceflight.com,xinhuanet.com,-,19.6142,110.9511,0.0
2024-02-25 22:06:00,2024-038 ,2460366.42,2024 Feb 25 2206:00,Falcon 9,FT5,300/B1069.13 F304,Starlink-143,Starlink Group 6-39,V2M  6-39 (24 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,18.0,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,0.0
2024-02-27 07:27:00,2024-S06  ,2460367.81,2024 Feb 27 0727:00,Red Kite/IM,-,MAPHEUS 14,DLR MAPHEUS 14,-,-,-,ESR,S,-,-,    265, ,    -, ,-,0.0,DLR,SS,-,DLR/,Micrograv,sscspace.com,-,-,67.894,21.107,0.0
2024-02-29 05:43:26,2024-039 ,2460369.74,2024 Feb 29 0543:26,Soyuz-2-1B,Fregat,S 15000-012/ 142-03,Meteor-M No. 2-4,Soyuz Rideshare 12,-,-,VOST,PU1S,-,-,      -, ,    -, ,-,3.452,FKA,OS,-,G,Sat SSO SD,nasaspaceflight.com,-,-,51.7,128.0,0.0
2024-02-29 13:03:00,2024-040 ,2460370.04,2024 Feb 29 1303,Chang Zheng 3B,G2,Y95,Hulianwang Gaogui W.,HWGGW 1,-,-,XSC,-,-,-,      -, ,    -, ,-,4.0,CALT,OS,-,G,Sat GTO O,nasaspaceflight.com,xinhuanet.com,-,28.2472,102.0291,0.0
2024-02-29 15:30:00,2024-041 ,2460370.15,2024 Feb 29 1530:00,Falcon 9,FT5,306/B1076.11 F305,Starlink-144,Starlink Group 6-40,V2M  6-40 (23 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,0.0
2024-03-01 00:00:00,2024-S05  ,2460370.5,2024 Mar  1,Yars,-,-,15Zh55M?,BB,-,-,GNIIP,-,-,-,   1000,?,    -, ,Kura,0.0,RVSNR,MS,-,-,OT,Wire,-,-,63.0,41.1,0.0
2024-03-04 03:53:38,2024-042 ,2460373.66,2024 Mar  4 0353:38,Falcon 9,FT5,304/B1083.1  F306,Dragon Crew-8,Dragon C206.5,-,-,KSC,LC39A,-,-,      -, ,    -, ,-,13.055,SPX,OS,-,CX,Sat ISS D,Wire,-,-,28.6083,-80.6041,0.0
2024-03-04 22:05:00,2024-043 ,2460374.42,2024 Mar  4 2205:00,Falcon 9,FT5,307/B1081.5  F307,Transporter-10,Transporter-10,-,-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,4.232,SPX,OS,-,C,Sat SSO D,Wire,-,-,34.63,-120.61,0.0
2024-03-04 23:56:00,2024-044 ,2460374.5,2024 Mar  4 2356:00,Falcon 9,FT5,308/B1073.13 F308,Starlink-145,Starlink Group 6-41,V2M  6-41 (23 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,0.0
2024-03-09 00:00:00,2024-A21  ,2460378.5,2024 Mar  9,Talon-A,-,TA-1,-,-,-,ROC,MHV,-,WTR,-,     20,?,    -, ,-,0.0,STRATO,AS,-,-,Test,Wire,-,-,35.0487,-118.1357,0.0
